Date,Team,Acquired,Relinquished,Notes
2010-02-10,Dolphins,• Brennan Marion,,activated from IR
2010-02-10,Dolphins,• Chad Pennington,,activated from IR
2010-02-10,Dolphins,• Channing Crowder,,activated from IR
2010-02-10,Dolphins,• Jason Ferguson,,activated from IR
2010-02-10,Dolphins,• Lydon Murtha,,activated from IR
2010-02-10,Dolphins,• Patrick Cobbs,,activated from IR
2010-02-10,Dolphins,• Ronnie Brown (G.),,activated from IR
2010-02-10,Dolphins,• Will Allen (D.),,activated from IR
2010-02-10,Eagles,• Cornelius Ingram,,activated from IR
2010-02-10,Eagles,• Ellis Hobbs,,activated from IR
2010-02-10,Eagles,• Fenuki Tupou,,activated from IR
2010-02-10,Eagles,• Jamaal Jackson,,activated from IR
2010-02-10,Eagles,• Omar Gaither,,activated from IR
2010-02-10,Eagles,• Shawn Andrews,,activated from IR
2010-02-10,Eagles,• Stewart Bradley,,activated from IR
2010-02-10,Falcons,• Antoine Harris,,activated from IR
2010-02-10,Falcons,• Brian Finneran,,activated from IR
2010-02-10,Falcons,• Brian Williams (b. 1979-07-02),,activated from IR
2010-02-10,Falcons,• Chris Houston,,activated from IR
2010-02-10,Falcons,• Harry Douglas,,activated from IR
2010-02-10,Falcons,• Harvey Dahl,,activated from IR
2010-02-10,Falcons,• Jamaal Fudge,,activated from IR
2010-02-10,Falcons,• Mike Schneck,,activated from IR
2010-02-10,Falcons,• Peria Jerry,,activated from IR
2010-02-10,Falcons,• Tony Gilbert,,activated from IR
2010-02-10,Falcons,• William Moore,,activated from IR
2010-02-10,Giants,• Aaron Ross,,activated from IR
2010-02-10,Giants,• Andre Brown (b),,activated from IR
2010-02-10,Giants,• Antonio Pierce,,activated from IR
2010-02-10,Giants,• Brandon Jacobs,,activated from IR
2010-02-10,Giants,• Darcy Johnson,,activated from IR
2010-02-10,Giants,• Gerris Wilkinson,,activated from IR
2010-02-10,Giants,• Jay Alford,,activated from IR
2010-02-10,Giants,• Kenny Phillips,,activated from IR
2010-02-10,Jaguars,• Atiyyah Ellison,,activated from IR
2010-02-10,Jaguars,• Bryan Smith,,activated from IR
2010-02-10,Jaguars,• Clint Ingram,,activated from IR
2010-02-10,Jaguars,• Don Carey,,activated from IR
2010-02-10,Jaguars,• Greg Jones (B.),,activated from IR
2010-02-10,Jaguars,• Jarett Dillard,,activated from IR
2010-02-10,Jaguars,• Reggie Hayward,,activated from IR
2010-02-10,Jaguars,• Rob Meier,,activated from IR
2010-02-10,Jaguars,• Scott Starks,,activated from IR
2010-02-10,Jaguars,• Troy Williamson,,activated from IR
2010-02-10,Jets,• Aundrae Allison,,activated from IR
2010-02-10,Jets,• Kris Jenkins,,activated from IR
2010-02-10,Jets,• Larry Izzo,,activated from IR
2010-02-10,Jets,• Leon Washington,,activated from IR
2010-02-10,Lions,• Brandon Pettigrew,,activated from IR
2010-02-10,Lions,• Casey Fitzsimmons,,activated from IR
2010-02-10,Lions,• Cody Spencer,,activated from IR
2010-02-10,Lions,• Copeland Bryan,,activated from IR
2010-02-10,Lions,• Damion Cook,,activated from IR
2010-02-10,Lions,• Daniel Bullocks,,activated from IR
2010-02-10,Lions,• Eric King (David),,activated from IR
2010-02-10,Lions,• Jack Williams (b),,activated from IR
2010-02-10,Lions,• Jared DeVries,,activated from IR
2010-02-10,Lions,• Kevin Smith (Ryan),,activated from IR
2010-02-10,Lions,• Ko Simpson,,activated from IR
2010-02-10,Lions,• Marquand Manuel,,activated from IR
2010-02-10,Lions,• Matthew Stafford,,activated from IR
2010-02-10,Lions,• Stephen Peterman,,activated from IR
2010-02-10,Packers,• Aaron Kampman,,activated from IR
2010-02-10,Packers,• Al Harris (b. 1974-12-07),,activated from IR
2010-02-10,Packers,• Brett Swain,,activated from IR
2010-02-10,Packers,• DeShawn Wynn,,activated from IR
2010-02-10,Packers,• Devin Frischknecht,,activated from IR
2010-02-10,Packers,• Jason Spitz,,activated from IR
2010-02-10,Packers,• Jeremy Thompson,,activated from IR
2010-02-10,Packers,• Justin Harrell,,activated from IR
2010-02-10,Packers,• Pat Lee,,activated from IR
2010-02-10,Packers,• Will Blackmon,,activated from IR
2010-02-10,Panthers,• C.J. Davis,,activated from IR
2010-02-10,Panthers,• Corvey Irvin,,activated from IR
2010-02-10,Panthers,• DeMarcus Tyler / Tank Tyler,,activated from IR
2010-02-10,Panthers,• Jake Delhomme,,activated from IR
2010-02-10,Panthers,• Jeff Otah,,activated from IR
2010-02-10,Panthers,• Jordan Gross,,activated from IR
2010-02-10,Panthers,• Josh McCown,,activated from IR
2010-02-10,Panthers,• Landon Johnson,,activated from IR
2010-02-10,Panthers,• Louis Leonard,,activated from IR
2010-02-10,Panthers,• Ma'ake Kemoeatu,,activated from IR
2010-02-10,Panthers,• Steve Smith / Steve Smith Sr. (Latrall),,activated from IR
2010-02-10,Panthers,• Thomas Davis,,activated from IR
2010-02-10,Patriots,• Brandon Tate,,activated from IR
2010-02-10,Patriots,• Bret Lockett,,activated from IR
2010-02-10,Patriots,• Chris Taylor (RB),,activated from IR
2010-02-10,Patriots,• George Bussey,,activated from IR
2010-02-10,Patriots,• Shawn Crable,,activated from IR
2010-02-10,Patriots,• Tyrone McKenzie,,activated from IR
2010-02-10,Patriots,• Wes Welker,,activated from IR
2010-02-10,Raiders,• Jon Alston (b. 1983-06-04),,activated from IR
2010-02-10,Raiders,• Nick Miller (b. 1987-03-29),,activated from IR
2010-02-10,Raiders,• Oren O'Neal,,activated from IR
2010-02-10,Raiders,• Ricky Brown (Gerald),,activated from IR
2010-02-10,Raiders,• Robert Gallery,,activated from IR
2010-02-10,Raiders,• Slade Norris,,activated from IR
2010-02-10,Rams,• Adam Carriker,,activated from IR
2010-02-10,Rams,• Bradley Fletcher,,activated from IR
2010-02-10,Rams,• Brooks Foster,,activated from IR
2010-02-10,Rams,• C.J. Ah You,,activated from IR
2010-02-10,Rams,• Chris Massey (Todd),,activated from IR
2010-02-10,Rams,• Daniel Fells,,activated from IR
2010-02-10,Rams,• Eric Bassey,,activated from IR
2010-02-10,Rams,• Gary Gibson (b. 1982-05-05),,activated from IR
2010-02-10,Rams,• Jacob Bell,,activated from IR
2010-02-10,Rams,• Keenan Burton,,activated from IR
2010-02-10,Rams,• Laurent Robinson,,activated from IR
2010-02-10,Rams,• Marc Bulger,,activated from IR
2010-02-10,Rams,• Oshiomogho Atogwe / O.J. Atogwe,,activated from IR
2010-02-10,Ravens,• Adam Terry,,activated from IR
2010-02-10,Ravens,• Brandon McKinney,,activated from IR
2010-02-10,Ravens,• Brendon Ayanbadejo,,activated from IR
2010-02-10,Ravens,• Fabian Washington,,activated from IR
2010-02-10,Ravens,• Greg Ryan,,activated from IR
2010-02-10,Ravens,• Haruki Nakamura,,activated from IR
2010-02-10,Ravens,• Jason Phillips (Wesley),,activated from IR
2010-02-10,Ravens,• K.J. Gerard,,activated from IR
2010-02-10,Ravens,• Lamar Divens,,activated from IR
2010-02-10,Ravens,• Lardarius Webb,,activated from IR
2010-02-10,Ravens,• Louis Saucedo / Lou Saucedo,,activated from IR
2010-02-10,Ravens,• Marcus Smith (Anthony),,activated from IR
2010-02-10,Ravens,• Matt Lawrence,,activated from IR
2010-02-10,Ravens,• Quinn Sypniewski,,activated from IR
2010-02-10,Ravens,• Samari Rolle,,activated from reserve/physically unable to perform list
2010-02-10,Redskins,• Chad Rinehart,,activated from IR
2010-02-10,Redskins,• Chris Cooley,,activated from IR
2010-02-10,Redskins,• Chris Horton,,activated from IR
2010-02-10,Redskins,• Chris Samuels (b),,activated from IR
2010-02-10,Redskins,• Clinton Portis,,activated from IR
2010-02-10,Redskins,• Colt Brennan,,activated from IR
2010-02-10,Redskins,• Eddie Williams,,activated from IR
2010-02-10,Redskins,• Jeremy Jarmon,,activated from IR
2010-02-10,Redskins,• Ladell Betts,,activated from IR
2010-02-10,Redskins,• Mike Williams (Deshaun),,activated from IR
2010-02-10,Redskins,• Randy Thomas,,activated from IR
2010-02-10,Redskins,• Reed Doughty,,activated from IR
2010-02-10,Saints,• Billy Miller,,activated from IR
2010-02-10,Saints,• Charles Grant (Gabriel),,activated from IR
2010-02-10,Saints,• Chip Vaughn,,activated from IR
2010-02-10,Saints,• D'Juan Woods,,activated from IR
2010-02-10,Saints,• Dan Campbell (Allen),,activated from IR
2010-02-10,Saints,• Heath Evans,,activated from IR
2010-02-10,Saints,• Jammal Brown,,activated from IR
2010-02-10,Saints,• Jo-Lonn Dunbar,,activated from IR
2010-02-10,Saints,• Kendrick Clancy,,activated from IR
2010-02-10,Saints,• Leigh Torrence,,activated from IR
2010-02-10,Saints,• Marcus Mailei,,activated from IR
2010-02-10,Saints,• Mark Simoneau,,activated from IR
2010-02-10,Saints,• Reggie Jones (b. 1986-03-15),,activated from IR
2010-02-10,Saints,• Rod Harper,,activated from IR
2010-02-10,Saints,• Rodney Leisle,,activated from IR
2010-02-10,Saints,• Stanley Arnoux,,activated from IR
2010-02-10,Seahawks,• Brandon Frye,,activated from IR
2010-02-10,Seahawks,• C.J. Wallace,,activated from IR
2010-02-10,Seahawks,• Kevin Houser,,activated from IR
2010-02-10,Seahawks,• Lofa Tatupu,,activated from IR
2010-02-10,Seahawks,• Mike Hass,,activated from IR
2010-02-10,Seahawks,• Walter Jones Jr.,,activated from IR
2010-02-10,Steelers,• Aaron Smith,,activated from IR
2010-02-10,Steelers,• Darnell Stapleton,,activated from IR
2010-02-10,Steelers,• Frank Summers,,activated from IR
2010-02-10,Steelers,• Greg Warren (Robert),,activated from IR
2010-02-10,Steelers,• Keenan Lewis,,activated from IR
2010-02-10,Steelers,• Limas Sweed,,activated from physically unable to perform list with illness
2010-02-10,Steelers,• Sean McHugh,,activated from IR
2010-02-10,Texans,• Anthony Hill,,activated from IR
2010-02-10,Texans,• Antwaun Molden,,activated from IR
2010-02-10,Texans,• Chaun Thompson,,activated from IR
2010-02-10,Texans,• Chester Pitts,,activated from IR
2010-02-10,Texans,• Dominique Barber,,activated from IR
2010-02-10,Texans,• Eugene Wilson,,activated from IR
2010-02-10,Texans,• Jeremiah Johnson,,activated from IR
2010-02-10,Texans,• Khary Campbell,,activated from IR
2010-02-10,Texans,• Mike Brisiel,,activated from IR
2010-02-10,Texans,• Owen Daniels,,activated from IR
2010-02-10,Texans,• Steve Slaton,,activated from IR
2010-02-10,Texans,• Troy Nolan,,activated from IR
2010-02-10,Titans,• Craig Hentrich,,activated from IR
2010-02-10,Titans,• David Thornton,,activated from IR
2010-02-10,Titans,• Jason Jones (Duane),,activated from IR
2010-02-10,Titans,• Keith Bulluck,,activated from IR
2010-02-10,Titans,• Mark Jones (b),,activated from IR
2010-02-10,Titans,• Nick Harper,,activated from IR
2010-02-10,Vikings,• E.J. Henderson,,activated from IR
2010-04-28,Jaguars,,• Torrance Daniels / Tank Daniels,placed on IR
2010-05-06,Jaguars,,• Bryan Smith,placed on IR with torn ACL in right knee
2010-05-07,Chiefs,,• Chandler Williams III,placed on IR
2010-05-11,Steelers,,• Limas Sweed,placed on IR with Achilles tendon injury
2010-05-19,Buccaneers,,• Byron Storer,placed on IR
2010-05-20,Bears,,• Brett Basanez,placed on IR with wrist injury
2010-05-26,Titans,,• Dominique Lindsay,placed on IR with Achilles tendon injury
2010-06-02,Bears,,• Lawrence Wilson (b),placed on IR
2010-06-10,Eagles,,• Marlin Jackson,placed on IR with Achilles tendon injury
2010-06-14,Texans,,• Trey Stross,placed on IR
2010-06-15,Broncos,,• Braxton Kelley,placed on IR
2010-06-15,Vikings,,• Aaron Rhea,placed on IR
2010-06-16,Saints,,• Roy Hall (b. 1983-12-08),placed on IR
2010-06-16,Titans,,• Roderick Hood / Rod Hood,placed on IR with torn ACL in knee
2010-06-17,Saints,,• Greg Fassitt,placed on IR
2010-06-18,Broncos,,• Kyle Eckel,placed on IR
2010-06-22,Redskins,,• Marques Hagans,placed on IR
2010-06-29,Rams,,• K.C. Asiodu,placed on IR
2010-07-07,Lions,,• Copeland Bryan,placed on IR with knee injury
2010-07-21,Bengals,,• Jason Shirley,placed on non-football injury list with Achilles tendon injury
2010-07-21,Steelers,,• Willie Colon,placed on IR with right Achilles tendon injury
2010-07-22,Bills,,• Joe Klopfenstein,placed on IR with undisclosed injury
2010-07-24,Cowboys,,• Lorenzo Washington,placed on physically unable to perform list with hamstring injury
2010-07-27,Browns,,• Calvin Mosley / C.J. Mosley,placed on physically unable to perform list with ankle injury
2010-07-27,Browns,,• Coye Francies,placed on physically unable to perform list for undisclosed reason
2010-07-27,Browns,,• Shaun Rogers,placed on physically unable to perform list with leg injury
2010-07-27,Patriots,,• Kade Weston,placed on physically unable to perform list for undisclosed reason
2010-07-27,Patriots,,• Shawn Crable,placed on physically unable to perform list for undisclosed reason
2010-07-27,Patriots,,• Wes Welker,placed on physically unable to perform list recovering from surgery on knee
2010-07-27,Ravens,,• Brendon Ayanbadejo,placed on physically unable to perform list with quadriceps injury
2010-07-27,Ravens,,• Ed Reed,placed on physically unable to perform list with hip injury
2010-07-27,Ravens,,• Fabian Washington,placed on physically unable to perform list with knee injury
2010-07-27,Ravens,,• Lardarius Webb,placed on physically unable to perform list with knee injury
2010-07-27,Ravens,,• Matt Birk,placed on physically unable to perform list with neck injury
2010-07-27,Ravens,,• Matt Lawrence,placed on physically unable to perform list with knee injury
2010-07-27,Ravens,,• Oniel Cousins,placed on physically unable to perform list with throat ailment
2010-07-27,Ravens,,• Prince Miller,placed on physically unable to perform list for undisclosed reason
2010-07-27,Ravens,,• Rodelin Anthony,placed on physically unable to perform list with knee injury
2010-07-27,Ravens,,• Terrence Cody,placed on physically unable to perform list for conditioning
2010-07-27,Ravens,,• Walt Harris (Lee),placed on physically unable to perform list for conditioning
2010-07-28,Broncos,,• Darrell Reid,placed on physically unable to perform list
2010-07-28,Broncos,,• Jamal Williams,placed on physically unable to perform list for undisclosed reason
2010-07-28,Broncos,,• Ryan Clady,placed on non-football injury list with knee injury
2010-07-28,Panthers,,• Duke Robinson,placed on physically unable to perform list for conditioning
2010-07-28,Panthers,,• Jeff Otah,placed on physically unable to perform list with knee injury
2010-07-28,Panthers,,• Jonathan Stewart (Creon),placed on physically unable to perform list with Achilles tendon injury
2010-07-28,Panthers,,• Louis Leonard,placed on physically unable to perform list for undisclosed reason
2010-07-28,Panthers,,• Steve Smith / Steve Smith Sr. (Latrall),placed on physically unable to perform list with arm injury
2010-07-28,Panthers,,• Thomas Davis,placed on physically unable to perform list with knee injury
2010-07-29,Bills,,• Jon Corto,placed on physically unable to perform list with wrist injury
2010-07-29,Bills,,• Nic Harris,placed on physically unable to perform list
2010-07-29,Chiefs,,• Brad Cottam,placed on physically unable to perform list with neck injury
2010-07-29,Jets,,• Erik Ainge,placed on non-football injury list
2010-07-29,Jets,,• Joe McKnight,placed on non-football injury list
2010-07-29,Ravens,,• Todd Heap,placed on active/non-football injury list with tonsillitis
2010-07-29,Saints,,• Clint Ingram,placed on physically unable to perform list
2010-07-29,Saints,,• Darren Sharper,placed on physically unable to perform list
2010-07-29,Saints,,• Robert Meachem,placed on physically unable to perform list
2010-07-30,Jaguars,,• Jarett Dillard,placed on physically unable to perform list
2010-07-30,Jaguars,,• Zach Miller (Scott),placed on physically unable to perform list
2010-07-30,Rams,,• Mark Setterstrom,placed on physically unable to perform list with triceps injury
2010-07-31,Cardinals,,• Gerald Hayes,placed on physically unable to perform list with back injury
2010-07-31,Cardinals,,• O'Brien Schofield,placed on physically unable to perform list with knee injury
2010-07-31,Seahawks,,• Chester Pitts,placed on physically unable to perform list with knee injury
2010-07-31,Seahawks,,• Josh Pinkard,placed on physically unable to perform list for undisclosed reasons
2010-07-31,Seahawks,,• Owen Schmitt,placed on physically unable to perform list with elbow injury
2010-07-31,Titans,,• (Robert) Tony Brown,placed on physically unable to perform list
2010-07-31,Titans,,• Damian Williams,placed on physically unable to perform list
2010-07-31,Titans,,• David Thornton,placed on physically unable to perform list
2010-07-31,Titans,,• Jamar Love,placed on physically unable to perform list
2010-07-31,Titans,,• Nicholas Schommer / Nick Schommer,placed on physically unable to perform list
2010-07-31,Titans,,• Willie Rose,placed on physically unable to perform list
2010-08-01,Dolphins,,• Phillip Merling,placed on physically unable to perform list with Achilles tendon injury
2010-08-01,Jets,,• Kellen Clemens,placed on physically unable to perform list with calf injury
2010-08-01,Jets,,• Kris Jenkins,placed on physically unable to perform list with hamstring injury
2010-08-01,Patriots,• Wes Welker,,activated from physically unable to perform list
2010-08-01,Ravens,,• Domonique Foxworth,placed on IR with torn ACL in right knee
2010-08-01,Ravens,• Todd Heap,,activated from active/non-football injury list
2010-08-02,Texans,,• Glenn Martinez,placed on IR with hamstring injury
2010-08-03,Colts,,• Tom Santi,placed on IR
2010-08-03,Panthers,,• Marcus Walker (b. 1986-05-23),placed on IR
2010-08-03,Seahawks,,• Jameson Konz,placed on IR with hip injury
2010-08-04,Cardinals,,• Dean Muhtadi,placed on IR
2010-08-04,Dolphins,,• A.J. Edds,placed on IR with torn ACL in right knee
2010-08-04,Texans,,• Justin Griffith,placed on IR with spinal cord concussion
2010-08-05,Broncos,• Jamal Williams,,activated from physically unable to perform list
2010-08-05,Dolphins,,• Kory Sheets,placed on IR
2010-08-05,Broncos,,• Josh Barrett,placed on IR with shoulder injury
2010-08-06,Broncos,,• Kenny McKinley,placed on IR with knee injury
2010-08-06,Chargers,,• Bryan Walters,placed on IR
2010-08-06,Jaguars,,• Jason Harmon (b),placed on IR
2010-08-06,Rams,,• Chris Hovan,placed on IR with back injury
2010-08-06,Ravens,,• Walt Harris (Lee),placed on IR with Achilles tendon injury
2010-08-07,Browns,,• Chris Roberson,placed on IR with right leg injury
2010-08-07,Buccaneers,,• Matt O'Hanlon,placed on IR
2010-08-07,Packers,,• Jeff Moturi,placed on IR with knee injury
2010-08-07,Rams,,• Mark Lewis (b),placed on IR for undisclosed reasons
2010-08-08,Chiefs,,• Tervaris Johnson,placed on IR with leg injury
2010-08-08,Giants,,• Rueben Riley,placed on IR
2010-08-08,Jaguars,,• Nate Hughes,placed on IR
2010-08-08,Seahawks,,• Anthony Heygood,placed on IR
2010-08-08,Jaguars,,• Terrell Whitehead,placed on IR
2010-08-09,Bears,,• Mike Teel,placed on IR
2010-08-09,Raiders,,• Jonathan Holland,placed on IR with ankle injury
2010-08-09,Seahawks,,• Isaiah Stanback,placed on IR
2010-08-09,Seahawks,,• Ryan Powdrell,placed on IR
2010-08-09,Steelers,,• Tuff Harris,placed on IR
2010-08-10,Bears,,• Averell Spicer,placed on IR
2010-08-10,Cardinals,,• Charles Ali,placed on IR
2010-08-10,Colts,,• John Gill (Singh),placed on reserve/non-football injury list
2010-08-10,Lions,,• Joe Cohen,placed on IR
2010-08-11,49ers,,• Martail Burnett,placed on IR with right knee injury
2010-08-11,Bengals,,• Cordera Eason,placed on IR with foot injury
2010-08-11,Cowboys,,• Kevin Brock,placed on IR
2010-08-11,Cowboys,,• Titus Ryan,placed on IR
2010-08-12,Bears,,• Antonio Robinson,placed on IR
2010-08-12,Bears,,• Harvey Unga,placed on IR with right hamstring injury
2010-08-12,Bills,,• Felton Huggins,placed on IR
2010-08-12,Dolphins,,• Evan Oglesby,placed on IR with left ankle injury
2010-08-12,Packers,,• Josh Bell,placed on IR
2010-08-12,Steelers,,• Andre Frazier,placed on IR with knee injury
2010-08-13,49ers,,• Scott McKillop,placed on IR with torn ACL in left knee
2010-08-13,Cardinals,,• Keilen Dykes,placed on IR
2010-08-13,Patriots,,• Ty Warren,placed on IR with hip injury
2010-08-15,Eagles,,• Antoine Harris,placed on IR with foot injury
2010-08-15,Patriots,,• Torry Holt,placed on IR with knee injury
2010-08-16,Chargers,,• Ali Highsmith,placed on IR
2010-08-16,Colts,,• David Caldwell (b),placed on IR
2010-08-16,Jets,,• Marlon Davis,placed on IR
