Date,Team,Acquired,Relinquished,Notes
2010-08-28,Colts,,• Marcus McCauley,placed on ir with undisclosed injury
2010-08-29,Bengals,,• Gibril Wilson,"placed on ir with torn acl, mcl in left knee"
2010-08-30,Colts,,• Kevin Thomas (c),placed on ir with knee injury
2010-08-30,Lions,,• David Roach,placed on ir
2010-08-30,Rams,,• Donnie Avery,placed on ir with torn acl in right knee
2010-08-30,Texans,,• Ben Tate (b),placed on ir
2010-08-30,Texans,,• Trindon Holliday,placed on ir with thumb injury
2010-08-30,Seahawks,,• Jonathan Lewis,placed on ir with thumb injury
2010-08-31,49ers,,• Brandon Long,placed on ir
2010-08-31,Broncos,,• Tony Carter (Lamar),placed on ir
2010-08-31,Browns,,• Titus Adams,placed on ir with leg injury
2010-08-31,Buccaneers,,• Jon Alston (b. 1983-06-04),placed on ir with undisclosed injury
2010-08-31,Cardinals,,• Nehemiah Broughton,placed on ir with torn acl in knee
2010-08-31,Chargers,,• Donald Butler,placed on ir with achilles tendon injury
2010-08-31,Cowboys,,• John Phillips (Matthew),placed on ir with torn acl in right knee
2010-08-31,Dolphins,,• Joey Haynos,placed on ir
2010-08-31,Dolphins,,• Nate Garner,placed on ir with foot injury
2010-08-31,Eagles,,• Ricky Sapp,placed on ir with knee injury
2010-08-31,Giants,,• Adrian Tracy,placed on ir with elbow injury
2010-08-31,Giants,,• Jim Sorgi,placed on ir with right shoulder injury
2010-08-31,Giants,,• Sinorice Moss,placed on ir with sports hernia
2010-08-31,Jaguars,,• D'Anthony Smith,placed on ir with achilles tendon injury
2010-08-31,Jaguars,,• John Estes,placed on ir with knee injury
2010-08-31,Lions,,• Jake Nordin,placed on ir
2010-08-31,Packers,,• Quinn Porter,placed on ir with sprained mcl in left knee
2010-08-31,Panthers,,• Hilee Taylor,placed on ir with knee injury
2010-08-31,Panthers,,• Wallace Wright,placed on ir with shoulder injury
2010-08-31,Patriots,,• Bret Lockett,placed on ir with chest injury
2010-08-31,Patriots,,• Darryl Richard,placed on ir with foot injury
2010-08-31,Patriots,,• Josh Barrett,placed on ir with shoulder injury
2010-08-31,Patriots,,• Leigh Bodden,placed on ir with shoulder injury
2010-08-31,Rams,,• Phil Trautwein,placed on ir
2010-08-31,Ravens,,• Daniel Sanders,placed on ir with shoulder injury
2010-08-31,Ravens,,• Marcus Paschal,placed on ir with right leg injury
2010-08-31,Redskins,,• Malcolm Kelly,placed on ir with knee injury
2010-08-31,Vikings,,• Jeremy Leman / J Leman,placed on ir with toe injury
2010-09-01,Bears,,• Will Ta'ufo'ou,placed on ir with right knee injury
2010-09-01,Cardinals,,• Darren Mougey,placed on ir
2010-09-01,Falcons,,• Thomas Johnson (b. 1981-06-24),placed on ir
2010-09-01,Jaguars,,• Cecil Newton Jr.,placed on ir
2010-09-01,Packers,,• Quinn Porter,placed on ir
2010-09-01,Titans,,• Kareem Brown,placed on ir
2010-09-01,Titans,,• Mike Rivera,placed on ir
2010-09-02,Ravens,,• Mike McLaughlin (b),placed on ir with sports hernia
2010-09-03,Broncos,,• LenDale White,placed on ir with achilles tendon injury
2010-09-03,Browns,,• Montario Hardesty,placed on ir with left knee injury
2010-09-04,49ers,,• Chris Patrick,placed on ir
2010-09-04,49ers,,• Matt Wilhelm,placed on ir
2010-09-04,49ers,,• Scott McKillop,placed on ir
2010-09-04,Bears,,• Averell Spicer,placed on ir
2010-09-04,Bears,,• Brett Basanez,placed on ir
2010-09-04,Bengals,,• Andrew Mitchell,placed on ir
2010-09-04,Bengals,,• Gibril Wilson,placed on ir
2010-09-04,Bills,,• Felton Huggins,placed on ir
2010-09-04,Bills,,• Joe Klopfenstein,placed on ir
2010-09-04,Broncos,,• Brandon Stokley,placed on ir for undisclosed reason
2010-09-04,Broncos,,• Braxton Kelley,placed on ir
2010-09-04,Broncos,,• Elvis Dumervil,placed on ir with pectoral injury
2010-09-04,Broncos,,• Kenny McKinley,placed on ir
2010-09-04,Broncos,,• Kyle Eckel,placed on ir
2010-09-04,Browns,,• Dave Zastudil,placed on ir
2010-09-04,Browns,,• Greg Estandia,placed on ir
2010-09-04,Browns,,• Johnathan Haggerty,placed on ir
2010-09-04,Browns,,• Kwaku Danso,placed on ir
2010-09-04,Buccaneers,,• Brandon Gilbeaux,placed on ir with ankle injury
2010-09-04,Buccaneers,,• Demar Dotson,placed on ir with undisclosed injury
2010-09-04,Buccaneers,,• Jon Alston (b. 1983-06-04),placed on ir
2010-09-04,Cardinals,,• Darren Mougey,placed on ir
2010-09-04,Cardinals,,• Keilen Dykes,placed on ir
2010-09-04,Cardinals,,• Nehemiah Broughton,placed on ir
2010-09-04,Chiefs,,• Chandler Williams III,placed on ir
2010-09-04,Chiefs,,• Jerheme Urban,placed on ir with finger injury
2010-09-04,Chiefs,,• Maurice Leggett,placed on ir with neck injury
2010-09-04,Chiefs,,• Tervaris Johnson,placed on ir
2010-09-04,Colts,,• Brett Swenson,placed on ir
2010-09-04,Colts,,• David Caldwell (b),placed on ir
2010-09-04,Colts,,• Donye McCleskey / Donye' McCleskey,placed on ir
2010-09-04,Colts,,• Jamie Silva,placed on ir
2010-09-04,Colts,,• Jordan Hemby,placed on ir
2010-09-04,Colts,,• Marcus McCauley,placed on ir
2010-09-04,Colts,,• Tom Santi,placed on ir
2010-09-04,Dolphins,,• Joey Haynos,placed on ir
2010-09-04,Dolphins,,• Kory Sheets,placed on ir
2010-09-04,Eagles,,• Antoine Harris,placed on ir
2010-09-04,Eagles,,• Marlin Jackson,placed on ir
2010-09-04,Falcons,,• Thomas Johnson (b. 1981-06-24),placed on ir
2010-09-04,Giants,,• Domenik Hixon,placed on ir
2010-09-04,Giants,,• Jim Sorgi,placed on ir
2010-09-04,Giants,,• Sinorice Moss,placed on ir
2010-09-04,Jaguars,,• Bryan Smith,placed on ir
2010-09-04,Jaguars,,• Chris McGaha,placed on ir
2010-09-04,Jaguars,,• Freddy Keiaho,placed on ir
2010-09-04,Jaguars,,• Jason Harmon (b),placed on ir
2010-09-04,Jaguars,,• Kyle Bosworth,placed on ir with undisclosed injury
2010-09-04,Jaguars,,• Nate Hughes,placed on ir
2010-09-04,Jaguars,,• Terrell Whitehead,placed on ir
2010-09-04,Lions,,• Copeland Bryan,placed on ir
2010-09-04,Lions,,• Jake Nordin,placed on ir
2010-09-04,Lions,,• Jared DeVries,placed on ir
2010-09-04,Lions,,• Joe Cohen,placed on ir
2010-09-04,Lions,,• Jordon Dizon,placed on ir
2010-09-04,Lions,,• Richard Dickson,placed on ir
2010-09-04,Lions,,• T.J. Rushing,placed on ir
2010-09-04,Lions,,• Trevor Canfield,placed on ir
2010-09-04,Packers,,• Josh Bell,placed on ir
2010-09-04,Packers,,• Quinn Porter,placed on ir
2010-09-04,Packers,,• Will Blackmon,placed on ir with knee injury
2010-09-04,Panthers,,• C.J. Davis,placed on ir with concussion
2010-09-04,Panthers,,• Duke Robinson,placed on ir with knee injury
2010-09-04,Panthers,,• Steve Justice,placed on ir
2010-09-04,Panthers,,• Wallace Wright,placed on ir
2010-09-04,Patriots,,• Brandon McGowan,placed on ir with chest injury
2010-09-04,Patriots,,• Kade Weston,placed on ir
2010-09-04,Patriots,,• Leigh Bodden,placed on ir
2010-09-04,Patriots,,• Ty Warren,placed on ir
2010-09-04,Raiders,,• Charlie Frye,placed on ir
2010-09-04,Raiders,,• Jonathan Holland,placed on ir
2010-09-04,Rams,,• Chris Hovan,placed on ir
2010-09-04,Rams,,• Eric Young,placed on ir with knee injury
2010-09-04,Rams,,• Kevin Payne,placed on ir with knee injury
2010-09-04,Rams,,• Phil Trautwein,placed on ir
2010-09-04,Ravens,,• Daniel Sanders,placed on ir
2010-09-04,Ravens,,• David Hale,placed on ir with back injury
2010-09-04,Ravens,,• Domonique Foxworth,placed on ir
2010-09-04,Ravens,,• Kelly Talavou,placed on ir with knee injury
2010-09-04,Ravens,,• Marcus Paschal,placed on ir
2010-09-04,Ravens,,• Ramon Harewood,placed on ir with knee injury
2010-09-04,Ravens,,• Stefan Rodgers,placed on ir with ankle injury
2010-09-04,Redskins,,• Mike Furrey,placed on ir
2010-09-04,Saints,,• Jonathan Casillas,placed on ir with foot injury
2010-09-04,Saints,,• Lynell Hamilton,placed on ir
2010-09-04,Saints,,• Marcus Mailei,placed on ir
2010-09-04,Saints,,• P.J. Hill,placed on ir
2010-09-04,Seahawks,,• Anthony Heygood,placed on ir
2010-09-04,Seahawks,,• Isaiah Stanback,placed on ir
2010-09-04,Seahawks,,• Jameson Konz,placed on ir
2010-09-04,Seahawks,,• Ray Willis,placed on ir with knee injury
2010-09-04,Steelers,,• Limas Sweed,placed on ir
2010-09-04,Steelers,,• Tuff Harris,placed on ir
2010-09-04,Steelers,,• Willie Colon,placed on ir
2010-09-04,Texans,,• Andre' Davis / Andre Davis (a),placed on ir with hip/tailbone injury
2010-09-04,Texans,,• Darnell Bing,placed on ir
2010-09-04,Texans,,• Justin Griffith,placed on ir
2010-09-04,Texans,,• Kris Brown,placed on ir with foot injury
2010-09-04,Texans,,• Tim Bulman,placed on ir
2010-09-04,Texans,,• Trey Stross,placed on ir
2010-09-04,Titans,,• Dominique Lindsay,placed on ir
2010-09-04,Titans,,• Kareem Brown,placed on ir
2010-09-04,Titans,,• Marcus Howard,placed on ir
2010-09-04,Titans,,• Mike Rivera,placed on ir
2010-09-04,Titans,,• Roderick Hood / Rod Hood,placed on ir
2010-09-04,Titans,,• Stafon Johnson,placed on ir
2010-09-04,Vikings,,• Jaymar Johnson,placed on ir with fractured left thumb
2010-09-04,Vikings,,• Jeremy Leman / J Leman,placed on ir
2010-09-04,Panthers,,• Aaron Francisco,placed on ir with hamstring injury
2010-09-04,Cardinals,,• Dean Muhtadi,placed on ir
2010-09-04,Bengals,,• Cordera Eason,placed on ir
2010-09-05,Bears,,• Woodny Turenne,placed on ir
2010-09-05,Bengals,,• Taufui Vakapuna / Fui Vakapuna,placed on ir with shoulder injury
2010-09-05,Bills,,• Derek Schouman,placed on ir with knee injury
2010-09-05,Buccaneers,,• Jonathan Compas,placed on ir with undisclosed injury
2010-09-05,Cardinals,,• Alfonso Smith,placed on ir
2010-09-05,Cardinals,,• Chris Johnson (c),placed on ir
2010-09-05,Cardinals,,• Mark Washington (b. 1985-08-20),placed on ir
2010-09-05,Chargers,,• Richie Brockel,placed on ir
2010-09-05,Colts,,• Glenn Sharpe,placed on ir
2010-09-05,Colts,,• James Williams (g),placed on ir
2010-09-05,Colts,,• Taj Smith,placed on ir
2010-09-05,Dolphins,,• Will Allen (D.),placed on ir with left knee injury
2010-09-05,Falcons,,• Brandyn Harvey,placed on ir
2010-09-05,Giants,,• Alex Hall,placed on ir with shoulder injury
2010-09-05,Giants,,• Courtney Brown (Leonard),placed on ir with ankle injury
2010-09-05,Lions,,• Korey Bosworth,placed on ir
2010-09-05,Packers,,• Allen Barbre,placed on ir with back injury
2010-09-05,Panthers,,• Jamie Petrowski,placed on ir
2010-09-05,Patriots,,• George Bussey,placed on ir
2010-09-05,Raiders,,• Alex Daniels,placed on ir with undisclosed injury
2010-09-05,Raiders,,• Jay Richardson,placed on ir with knee injury
2010-09-05,Raiders,,• Joey Thomas,placed on ir with concussion
2010-09-05,Redskins,,• Clint Oldenburg,placed on ir
2010-09-05,Redskins,,• Robert Henson,placed on ir
2010-09-05,Steelers,,• Renauld Williams,placed on ir
2010-09-05,Texans,,• Derek Fine,placed on ir
2010-09-05,Texans,,• Jeremiah Johnson,placed on ir
2010-09-09,Colts,,• Tony Ugoh,placed on ir with toe injury
2010-09-09,Jets,,• Kevin O'Connell,placed on ir
2010-09-10,Bills,,• Kawika Mitchell,placed on ir with foot injury
2010-09-11,Jaguars,,• Jarett Dillard,placed on ir with left foot/toe injury
2010-09-14,Bears,,• Hunter Hillenmeyer,placed on ir with concussion
2010-09-14,Eagles,,• Jamaal Jackson,placed on ir with torn triceps in right arm (out for season)
2010-09-14,Eagles,,• Leonard Weaver,placed on ir with torn acl in left knee (out for season)
2010-09-14,Lions,,• Aaron Berry,placed on ir with right shoulder injury
2010-09-14,Packers,,• Justin Harrell,placed on ir with torn acl in left knee
2010-09-14,Packers,,• Ryan Grant (Brett),placed on ir with ankle injury
2010-09-14,Seahawks,,• Max Unger,placed on ir with left toe injury
2010-09-14,Texans,,• Connor Barwin,placed on ir with right ankle injury
2010-09-15,Chargers,,• David Binn,placed on ir with hamstring injury
2010-09-15,Chiefs,,• Cameron Sheffield,placed on ir with neck injury
2010-09-15,Jets,,• Kris Jenkins,placed on ir with torn acl in left knee
2010-09-15,Panthers,,• Todd Carter,placed on ir
2010-09-15,Rams,,• Josh Hull,placed on ir with torn acl in left knee
2010-09-17,Chargers,,• James Dearth,placed on ir with foot injury
2010-09-17,Panthers,,• Charly Martin,placed on ir with concussion
2010-09-21,Browns,,• Kaluka Maiava,placed on ir with right leg injury
2010-09-21,Falcons,,• Jerious Norwood,placed on ir with knee injury
2010-09-21,Jaguars,,• Luke McCown,placed on ir with torn acl in knee
2010-09-22,Jaguars,,• Scotty McGee,placed on ir with shoulder injury
2010-09-22,Patriots,,• Kevin Faulk,placed on ir with torn acl in right knee
2010-09-25,Browns,,• D'Qwell Jackson,placed on ir with pectoral muscle injury
2010-09-27,Colts,,• Ramon Humber,placed on ir with hand injury
2010-09-27,Cowboys,,• Deon Anderson,placed on ir
2010-09-27,Rams,,• Dominique Curry,placed on ir with torn acl in right knee
2010-09-28,Giants,,• Michael Johnson (Derrick),placed on ir with back injury
2010-09-29,Chargers,,• James Holt (b),placed on ir with shoulder injury
2010-09-29,Chargers,,• Ryan Neill,placed on ir with knee injury
2010-10-01,Seahawks,,• LeRoy Hill,placed on ir with achilles tendon / calf injury
2010-10-02,Steelers,,• Dennis Dixon,placed on ir with left knee injury
2010-10-05,Chargers,,• Jyles Tucker,placed on ir with pectoral injury
2010-10-05,Colts,,• Devin Moore,placed on ir with neck injury
2010-10-05,Colts,,• Melvin Bullitt,placed on ir with shoulder injury
2010-10-05,Saints,,• Chris Reis,placed on ir with shoulder injury
2010-10-06,Rams,,• Marquis Johnson,placed on ir with knee injury
2010-10-07,Dolphins,,• Lionel Dotson,placed on ir
2010-10-07,Packers,,• Morgan Burnett,placed on ir with knee injury
2010-10-07,Redskins,,• Josh Bidwell,placed on ir with right hip injury
2010-10-07,Titans,,• Derrick Morgan,placed on ir with torn acl in left knee
2010-10-11,Rams,,• Mark Clayton (Jermaine),placed on ir with torn patellar tendon in right knee
2010-10-12,Patriots,,• Nick Kaczur,placed on ir with back injury
2010-10-12,Rams,,• Darcy Johnson,placed on ir with concussion
2010-10-13,Chargers,,• Shawne Merriman,placed on ir with calf injury
2010-10-13,Packers,,• Derrick Martin (Jerome),placed on ir with knee injury
2010-10-13,Titans,,• Colin Allred,placed on ir with neck injury
2010-10-13,Vikings,,• Cedric Griffin,placed on ir with torn acl in right knee
2010-10-15,Lions,,• Spencer Havner,placed on ir with hamstring injury
2010-10-16,Giants,,• Victor Cruz,placed on ir with hamstring injury
2010-10-17,Packers,,• Nick Barnett,placed on ir with wrist injury
2010-10-18,Packers,,• Jermichael Finley,placed on ir with right knee injury
2010-10-19,49ers,,• Curtis Taylor,placed on ir with quadriceps injury
2010-10-19,Broncos,,• Matthew Willis / Matt Willis,placed on ir with foot injury
2010-10-19,Buccaneers,,• Kareem Huggins,placed on ir with torn acl in right knee
2010-10-19,Colts,,• Brandon King (Marico),placed on ir with hamstring injury
2010-10-20,Browns,,• Robaire Smith,placed on ir with back injury
2010-10-20,Browns,,• Tony Pashos,placed on ir with ankle injury
2010-10-20,Saints,,• Randall Gay,placed on ir with concussion
2010-10-22,Dolphins,,• Jared Odrick,placed on ir with left foot injury
2010-10-23,Chargers,,• Kion Wilson,placed on ir with ankle injury
2010-10-23,Ravens,,• Jared Gaither,placed on ir with back injury
2010-10-25,Colts,,• Dallas Clark,placed on ir with wrist injury
2010-10-25,Texans,,• DeMeco Ryans,placed on ir with torn left achilles tendon
2010-10-26,Bengals,,• Adam Jones / Pacman Jones,placed on ir with neck injury
2010-10-26,Jaguars,,• Eben Britton,placed on ir with shoulder injury
2010-10-26,Packers,,• Brady Poppinga,placed on ir with knee injury
2010-10-26,Packers,,• Mike Neal,placed on ir with shoulder injury
2010-10-27,Packers,,• Brad Jones (Edward),placed on ir with right shoulder injury
2010-10-27,Panthers,,• Jamar Williams,placed on ir with neck injury
2010-10-27,Rams,,• Clifton Ryan,placed on ir with migraine headaches
2010-10-28,Falcons,,• Robert Agnone / Robbie Agnone,placed on ir with foot injury (out for season)
2010-10-28,Giants,,• Mathias Kiwanuka,placed on ir with neck injury
2010-10-30,Dolphins,,• Deon Anderson,placed on ir with triceps injury
2010-10-31,Lions,,• Zack Follett,placed on ir with neck injury
2010-11-01,49ers,,• Eric Heitmann,placed on ir with neck injury
2010-11-01,Giants,,• Bruce Johnson (b. 1987-02-18),placed on ir with knee injury
2010-11-02,Buccaneers,,• Brian Price (Larisso),placed on ir with pelvis injury
2010-11-02,Chargers,,• Craig Davis / Buster Davis,placed on ir with groin injury
2010-11-02,Seahawks,,• Ben Hamilton,placed on ir with concussion
2010-11-02,Seahawks,,• Joseph Bryant / Red Bryant,placed on ir with knee injury
2010-11-03,Bills,,• Cornell Green (Duane),placed on ir with knee injury
2010-11-03,Patriots,,• Darnell Jenkins,placed on ir (e)
2010-11-03,Titans,,• Jamie Winborn,placed on ir with shoulder injury
2010-11-06,Colts,,• Anthony Gonzalez,placed on ir with knee injury
2010-11-08,Bills,,• Andra Davis,placed on ir with shoulder injury
2010-11-08,Bills,,• Roscoe Parrish,placed on ir with fractured left wrist
2010-11-08,Panthers,,• Thomas Davis,placed on ir with torn acl in right knee
2010-11-08,Redskins,,• Chris Horton,placed on ir with right ankle injury
2010-11-09,Cardinals,,• Kenny Iwebema,placed on ir with knee injury
2010-11-09,Giants,,• Adam Koets,placed on ir with torn acl in left knee
2010-11-09,Panthers,,• Dan Connor (Murphy),placed on ir with hip injury
2010-11-09,Panthers,,• Jeff Otah,placed on ir with knee injury
2010-11-09,Panthers,,• Matt Moore,placed on ir with right shoulder injury
2010-11-10,Cowboys,,• Akwasi Owusu-Ansah,placed on ir with ankle injury
2010-11-10,Cowboys,,• Marcus Spears (Rayshon),placed on ir with calf injury
2010-11-10,Patriots,,• Stephen Gostkowski,placed on ir with thigh injury
2010-11-10,Steelers,,• Max Starks,placed on ir with neck injury
2010-11-11,Texans,,• Dominique Barber,placed on ir with knee injury
2010-11-12,Packers,,• Mark Tauscher,placed on ir with shoulder injury
2010-11-13,Bengals,,• Andre Smith (Dewayne),placed on ir with foot injury
2010-11-13,Jaguars,,• Aaron Kampman,placed on ir with knee injury (surgery)
2010-11-13,Texans,,• Karl Paymah,placed on ir with wrist injury
2010-11-15,Bengals,,• Mike Nugent,placed on ir with torn acl in right knee
2010-11-15,Bengals,,• Morgan Trent,placed on ir with knee injury
2010-11-16,Browns,,• Billy Yates,placed on ir with biceps injury
2010-11-16,Dolphins,,• Chad Pennington,placed on ir with right shoulder injury
2010-11-16,Giants,,• Ramses Barden,"placed on ir with left leg, foot injury"
2010-11-16,Rams,,• Fendi Onobun,placed on ir with back injury
2010-11-17,Cardinals,,• Brandon Keith,placed on ir with knee injury
2010-11-17,Chiefs,,• Mark Simoneau,placed on ir
2010-11-17,Lions,,• Jack Williams (b),placed on ir with knee injury
2010-11-17,Panthers,,• DeAngelo Williams,placed on ir with foot injury
2010-11-19,Dolphins,,• Cory Procter,placed on ir with torn acl in left knee
2010-11-20,Saints,,• Jason Kyle,placed on ir with shoulder injury
2010-11-21,Bengals,,• Jonathan Fanene,placed on ir with hamstring injury
2010-11-22,Bengals,,• Chris Crocker,placed on ir with torn mcl in right knee
2010-11-22,Bengals,,• Frostee Rucker,placed on ir with knee injury
